,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$245,000","207 N 3rd St, Davis, OK 73030",https://www.zillow.com/homedetails/207-N-3rd-St-Davis-OK-73030/107322131_zpid/,3, House,1,"1,256",Debbie Dodson,580-618-5231,Marilyn's Real Estate,"MONEY MAKER TURN-KEY BUSINESS/3 BDRM 2 BATH HOME TO BOOT. HOME NEEDS TLC...BUT, RESTAURANT BUSINESS IS SET UP AND READY FOR A COOK!! NEWER SHAVED ICE MACHINE; COMMERCIAL VENTAHOOD; 4 FRYERS; FLAT TOP GRILL; COMMERCIAL STOVE AND OVEN; WALK-IN COOLER; EVERYTHING YOU WILL NEED TO OPEN A SUCCESSFUL AND BOOMING BUSINESS!! 3 BDRM HOME COULD BE EASILY RENOVATED FOR LIVING QUARTERS OR ADDITIONAL RENTAL INCOME. records from booming business prior are available.",turn%20key
1,"$86,000","3313 W Archer St, Tulsa, OK 74127",https://www.zillow.com/homedetails/3313-W-Archer-St-Tulsa-OK-74127/22155028_zpid/,3, House,1,"1,553",Joanna Ford,918-381-2555,Coldwell Banker Select,"3beds/1bath home large rooms and Living updated not to long ago, great investment property for a rental. Newer windows, plumbing, flooring, siding, HVAC, electrical, lighting and siding recently redone. and turn key. AS IS.",turn%20key
2,"$154,900","17051 Sieber Rd, Newalla, OK 74857",https://www.zillow.com/homedetails/17051-Sieber-Rd-Newalla-OK-74857/58745699_zpid/,3, Foreclosure,2,"1,456",Gino Minard,405-226-8949,A-1 Property Management,"Hold onto your hats this home is turn key ready with all the repairs and updates made!  Freshly painted with all new flooring, fixtures and appliances. This 3 bed, 2 bath Manufactured home sits on 2.65 acres of land giving you plenty of room to spread out. Home offers 2 open porches that have been fully rebuilt on front and side of home Large soaking tub and separate shower in primaries bath.  Make an appointment for a private showing today.  Buyer to verify all information.",turn%20key
3,"$115,000","22274 W 5th St, Hinton, OK 73047",https://www.zillow.com/homedetails/22274-W-5th-St-Hinton-OK-73047/52532219_zpid/,2, House,1,971,Chequita Hawkins,405-826-2045,Keller Williams-Green Meadow,"This completely remodeled and beautifully updated home in a private lake community awaits you! This home has been gutted and updated from the studs. Has all new major mechanicals, well, electrical wiring,  plumbing, metal roof, guttering system, fresh paint, flooring, new electrical mini splits for heating and cooling, and the list goes on and on! This place is located on a safe private road only a 2 minute drive to the beautiful 200 acre private lake where you can fish, ski and swim until your hearts contents. It has beautiful views of the canyons and a 1 minute drive to an adventurous ATV  trail. Great area for hiking or just kicking back relaxing and retreating. This would be a great place for someone wanting to affordably retire yet  looking for something turn key or a 2nd home to enjoy with friends and family. Located 1 hr west of OKC metro south of I-40. You don't want to miss out on this great opportunity. Come check it out!",turn%20key
4,"$515,000","403 E Redbud Ln, Gore, OK 74435",https://www.zillow.com/homedetails/403-E-Redbud-Ln-Gore-OK-74435/2068627636_zpid/,3, House,3,"2,464",Allison C. Sheffield,918-951-7000,Chinowth & Cohen,"Live the Good Life in Gore! Fully Turn Key, Essentially New 1 level. Top of the line finishes: whole hm generator, Andersen windows, Wood Floors in Living & Beds (No Carpet!), 36” Induction Cooktop, New 75 Gallon HWH, New KitchenAid Ice Maker. Fresh Paint. Extensive storage & built-ins. Outdoor living w/covered flagstone patio, hot tub w/private gazebo, fire pit, landscaping, & full iron fence. Fridge+W/D included. Close to Lake Tenkiller, 1hr to Tulsa, 45mins to Ft Smith. Listing Agent Related to Seller.",turn%20key
5,"$54,900","1216 N Timmons St, Seminole, OK 74868",https://www.zillow.com/homedetails/1216-N-Timmons-St-Seminole-OK-74868/2068540345_zpid/,2, House,1,816,Pam Robinson,405-382-7653,Pam Robinson Real Estate Inc,"TOTAL REMODEL! Call this one home or a turn-key investment property! This 2br/1ba home is like new! New plumbing, new electrical, paint, flooring, new windows and so much more! CH&A. Good sized living area open to the kitchen, 2 nice sized bedrooms and a full hall bath complete the living space. Single carport, fenced yard, big lot – approximately 4 city lots. Storage building/barn/workshop. Currently tenant occupied with 1 year lease that ends Aug 2022 that owner wishes to honor – rent brings $800/mo. This one will go quick! Schedule your showing today!",turn%20key
6,"$280,000","204 Belt St, Eufaula, OK 74432",https://www.zillow.com/homedetails/204-Belt-St-Eufaula-OK-74432/86056211_zpid/,3, House,2,"1,096",Ryan Sutton,816-810-7541,Porches and Pastures,"ARE YOU READY TO LIVE YOUR BEST LAKE LIFE! This fully remodeled and fully furnish home features 2 bed/1 bath in the main house and 1 bed/ 1 bath with game room and bar in the guest quarters.  The home is a golf cart ride away from the Eufaula Cove Marina, beautiful sand beaches, main street for shopping and restuarants. Make this home your full time residence, lake retreat or turn key VRBO. The great yard makes entertaining guest a dream come true.  Don't let this home pass you buy.  CALL TODAY!",turn%20key
7,"$249,000","19941 County Road 3 Dr, Ada, OK 74820",https://www.zillow.com/homedetails/19941-County-Road-3-Dr-Ada-OK-74820/86122411_zpid/,3, Home,2,"1,456",Shannon South,580-399-4454,Margaret Barton & Associates,"Turn key horse property on 7 acres (+/-)! 3 bed/ 2 bath home with office, utility room and large back porch. Property features a 36 x 60 barn with concrete aisle (8) 12 x 12 stalls with mats, saddling area, feed/tack room,  12 x 84 shed row/barn with 7 runs, nice turn out pasture, property is fully fenced, 130x 240 riding area with lights, storage building, RV outlet, small pond, and fruit trees. Seller is a licensed Realtor #180340.",turn%20key
8,"$54,900","1216 Timmons St, Seminole, OK 74868",https://www.zillow.com/homedetails/1216-Timmons-St-Seminole-OK-74868/86132496_zpid/,2, House,1,816,Pamela Robinson,405-382-7653,Pam Robinson Real Estate,"Updated Call this one home or a turn-key investment property! This 2br/1ba home is like new! New plumbing, new electrical, paint, flooring, new windows and so much more! CH&A. Good sized living area open to the kitchen, 2 nice sized bedrooms and a full hall bath complete the living space. Single carport, fenced yard, big lot – approximately 4 city lots. Storage building/barn/workshop. Currently tenant occupied with 1 year lease that ends Aug 2022 that owner wishes to honor – rent brings $800/mo.",turn%20key
9,"$260,000","956 Buchanan Ave, Piedmont, OK 73078",https://www.zillow.com/homedetails/956-Buchanan-Ave-Piedmont-OK-73078/64744675_zpid/,3, House,2,"1,910",Erika Jackson,405-642-7062,405 Home Store,"Wonderful home in the very desired Piedmont school district. Enjoy doing life in this beautiful 3 bed, 2 full bath home with open living and 2 dining spaces. Fireplace is tucked in the corner of the living space and is viewable from the kitchen. Kitchen has white cabinetry along with an island for extra meal prep. A hanging pot rack overhead makes for easy access. Master bedroom has double vanities with 2 closets, tub, walk in shower and water closet. Large laundry room close to master for convenience. Split floor plan allows for privacy. Have fun entertaining in the back yard with large covered back patio.",turn%20key
