,prices,address,links,bed,type,baths,sq_feet,Listing Agent Name,Listing Agent Contact,Listing Agent Company,Description,Key Word
0,"$219,900","1111 E 3rd North St, Morristown, TN 37814",https://www.zillow.com/homedetails/1111-E-3rd-North-St-Morristown-TN-37814/41485987_zpid/,3, House,3,"1,320",Joe Whiteside,423-736-3841,RE/MAX Real Estate Ten Midtown,"Completely remodeled 3 BR 2.5 BA home in convenient city location.    Updates include new roof and gutters, doors and windows, 2 HVAC systems, new plumbing and electric, LVP flooring and carpet, paint inside and out, light fixtures, cabinets, counters, and countertops, stainless appliances, 3 new baths, new concrete driveway, landscaping, stone work, new insulation, walls and ceilings, and more.    House features large open brand new kitchen, shiplap ceilings, fireplace in living room, great color scheme, and new split HVAC systems (main level and upstairs).    Outside there is an open carport, deck on back, deck off 2nd floor, large level backyard, and new concrete drive.   There is a full unfinished basement w/double walkout doors and lots of storage.   This house has been tastefully remodeled top to bottom and has great curb appeal.    Call agent for lock box code.",shiplap
1,"$1,269,900","750 Upper Station Camp Creek Rd, Gallatin, TN 37066",https://www.zillow.com/homedetails/750-Upper-Station-Camp-Creek-Rd-Gallatin-TN-37066/2076109264_zpid/,3, House,4,"4,551",Stephanie Caddo,615-830-9144,Realty One Group Music City-Nashville,"Private Estate on 7.5 acres near Liberty Creek and Station Camp areas. Imagine being in the country but only 10 minutes from everything! Custom-built home with updated light fixtures, arches, granite, hardwoods, crown molding throughout, huge pantry, shiplap ceiling and wall design in living room & wood fireplace. Giant Master Suite w/his & hers closets, dedicated HVAC system, & oversized en suite. Magnificent sunroom (new windows). One-level living except for bonus room w/huge closet & flex room (could be 4th bedroom) above over-sized 2-car garage. 4-stall barn w/tack room w/electric and water, 16x40’ RV shed, irrigated garden area, salt-water pool (w/new pool pump), irrigation w/well water, koi pond w/waterfall, private backyard to enjoy wildlife. Entire property fenced. Gated driveway",shiplap
2,"$273,420","182 Linden Rd, Centerville, TN 37033",https://www.zillow.com/homedetails/182-Linden-Rd-Centerville-TN-37033/41473365_zpid/,4, House,2,"1,764",Beth Baker,931-242-0067,"Crye-Leike, Inc., REALTORS","Renovated Rustic Farmhouse In the City! 4bdrm/2bath (1764sqft) BRICK Home. Features: ALL NEW... ~Electrical ~Plumbing ~HVAC ~Water Heater ~Drywall & Windows. Restored Original Hardwood Floors & Interior doors! Open Floorplan..New Kitchen w/soft close drawers, Under counter lighting, Stainless appliances, & Luxury plank flooring. Big Master Bdrm w/Shiplap walls & Recessed lighting, Large Level Fenced Yard & Side Yard, Detached Carport, Newer Metal Roof w/Gutter guards. ABSOLUTELY ADORABLE HOME!",shiplap
3,"$695,000","7404 Hoods Branch Rd, Springfield, TN 37172",https://www.zillow.com/homedetails/7404-Hoods-Branch-Rd-Springfield-TN-37172/81272968_zpid/,3, House,3,"2,489",Tyler Schnarr,309-333-9039,EXP Realty,"Welcome to a Brilliantly updated country home that nestles in the Tennessee hills, less than 30 mins from Nashville. Enjoy 7.9 acres with a 3 horse stable/track & workshop. Love your grand entry with a sweeping foyer & lighted chandelier. Home has Master suite on main, open concept, shiplap walls, crown molding, real Hardwood floors, clawfoot bathtubs, FINISHED basement, fireplaces & french doors lead to patio. New kitchen cabinets, granite, appliances & flooring. Huge Deck. Garden & Koi pond.",shiplap
4,"$174,900","1068 Sheridan St, Memphis, TN 38107",https://www.zillow.com/homedetails/1068-Sheridan-St-Memphis-TN-38107/42156444_zpid/,2, House,1,0,Beatrice Salako,866-807-9087,"USRealty.com, LLP","Located in Vollintine historic area, on a quiet cove.  ALL New Windows, refinished original hardwood floors, Cabinets, HVAC, Beautiful Countertops, Brand New SS Appliances, Shiplap Wall with nice size Backyard, LARGE Deck Great for Entertaining. Fenced in backyard, detached garage, All This and More.",shiplap
6,"$469,900","2533 McGinnis Dr, Nashville, TN 37216",https://www.zillow.com/homedetails/2533-McGinnis-Dr-Nashville-TN-37216/41090662_zpid/,3, House,2,"1,826",Gary Ashton,,The Ashton Real Estate Group of RE/MAX Advantage,"Updated home with gorgeous stone on the exterior. This 3 bedroom, 2 bath home has plenty of natural light, ceiling fans, updated hardwood flooring and updated countertops. The bath has tile in the shower. The back deck is perfect for entertaining, it is partially covered. The fenced back yard gives extra privacy. Download the Zillow app to access home. Search for the home in the app. Click Self Tour to unlock the door. Full instructions in the document tab.",shiplap
7,"$514,900","776 Wolfeboro Ln, Nashville, TN 37221",https://www.zillow.com/homedetails/776-Wolfeboro-Ln-Nashville-TN-37221/104002692_zpid/,5, House,4,"2,827",Gary Ashton,,The Ashton Real Estate Group of RE/MAX Advantage,"Built in Avondale Park, this home boasts 5 bedrooms, 3.5 baths and over 2800 sqft. The home is located tucked away on a cul-de-sac on an oversized lot of .43 acres. Th open floorplan, large bedrooms and fireplace make the home perfect for family and friends. The kitchen has an island and plenty of natural light! The covered porch or back deck are perfect for relaxing with a cup of coffee! No back yard neighbors and located close to the Harpeth River. Download the Zillow app to access home. Search for the home in the app. Click Self Tour to unlock the door. Full instructions in the document tab.",shiplap
8,"$408,800","857 Peninsula Dr, Gallatin, TN 37066",https://www.zillow.com/homedetails/857-Peninsula-Dr-Gallatin-TN-37066/80344400_zpid/,4, House,3,"1,850",Gary Ashton,,The Ashton Real Estate Group of RE/MAX Advantage,"Great 4 bedroom, 2.5 bath brick home. The home is on almost half an acre! Close proximity to shopping & entertainment. The kitchen has custom cabinets and granite countertops. There are plenty of hardwoods and tile. Walk-in closets in each bedroom. The large yard can be viewed from the large deck outback. No HOA!",shiplap
9,"$294,600","125 Mason St, Portland, TN 37148",https://www.zillow.com/homedetails/125-Mason-St-Portland-TN-37148/42378475_zpid/,3, House,2,"1,246",Gary Ashton,,The Ashton Real Estate Group of RE/MAX Advantage,"Wonderful 3 bedroom, 2 bath home on .38 acres. Nice size lot for entertaining and the screened-in porch is a perfect addition to gatherings. The home has plenty of hardwoods, a gorgeous fireplace, a tray ceiling in the primary, and an eat-in kitchen. Convenient to 1-65. Perfect location for commuting into the city but a country community feels at home!",shiplap
10,"$485,900","225 Oak Dr, Franklin, TN 37064",https://www.zillow.com/homedetails/225-Oak-Dr-Franklin-TN-37064/42631262_zpid/,4, House,2,"1,395",Gary Ashton,,The Ashton Real Estate Group of RE/MAX Advantage,"Great 4 bedroom, 2 bath home in Franklin. The home has solid flooring throughout. Large window in the main living space brings in lots of light. The kitchen has plenty of cabinets and counter space. Eat-in kitchen with double sliding door brings the sun in! The bathrooms are updated. There is a large patio out back. Also has a storage building out back.",shiplap
